p5_1,p5_2
831,67
11221,13
3225,13
452,67
9445,13
3230,13
3449,13
2049,120
11319,145
11320,13
11321,145
4077,430
266,120
7315,145
1211,13
3143,145
2653,13
5818,13
5517,13
2242,145
11334,13
6431,13
766,20
11339,145
6845,145
6767,13
8762,13
5457,13
7486,13
2355,120
7644,20
1509,120
11353,13
1157,67
1055,13
2179,430
3297,145
3310,430
1830,120
1474,120
2731,145
11360,13
3812,13
785,430
526,120
9234,13
11367,145
8441,13
9639,13
233,11372
8680,145
6751,145
2949,13
10000,13
2121,13
9788,145
8943,20
8115,13
1669,13
4336,13
9277,13
6674,13
3463,67
8935,13
5870,145
1817,145
4536,13
254,67
8263,13
2161,67
11421,13
509,2937
5716,13
946,120
6212,13
8221,13
9018,13
10561,13
4836,13
5873,13
6949,20
2294,13
9063,13
11440,13
3462,145
7728,13
7972,145
611,13
1514,67
5687,20
8090,13
5931,13
5473,20
965,120
1544,430
5756,145
4225,13
11469,13
1386,120
